height,weight,label
218,59,thin
113,59,fat
119,59,fat
165,64,normal
195,62,thin
200,55,thin
134,55,fat
183,57,thin
148,62,fat
122,63,fat
114,63,fat
163,62,normal
118,63,fat
126,59,fat
118,56,fat
186,60,thin
133,64,fat
138,61,fat
141,60,fat
207,62,thin
167,57,normal
167,57,normal
122,57,fat
157,64,fat
119,63,fat
181,65,normal
205,64,thin
158,56,normal
185,63,thin
122,59,fat
158,58,normal
159,56,normal
186,64,thin
196,62,thin
167,63,normal
191,61,thin
190,55,thin
120,65,fat
148,58,fat
214,59,thin
144,56,fat
177,60,normal
175,62,normal
180,64,normal
169,57,normal
167,56,normal
196,59,thin
194,64,thin
155,58,normal
174,58,normal
140,60,fat
116,59,fat
139,56,fat
167,62,normal
155,63,fat
202,60,thin
181,55,thin
116,60,fat
126,55,fat
147,58,fat
132,57,fat
156,63,fat
161,57,normal
184,61,thin
205,56,thin
180,59,thin
152,58,fat
190,60,thin
133,60,fat
161,64,normal
135,61,fat
176,56,thin
180,62,normal
127,63,fat
119,55,fat
193,60,thin
159,61,normal
220,65,thin
175,65,normal
112,55,fat
142,60,fat
179,61,normal
205,60,thin
132,59,fat
148,60,fat
135,61,fat
125,65,fat
136,57,fat
180,55,thin
166,60,normal
215,64,thin
135,61,fat
190,56,thin
172,62,normal
146,63,fat
218,65,thin
165,62,normal
197,59,thin
133,65,fat
113,61,fat
141,62,fat
148,60,fat
200,56,thin
162,61,normal
174,63,normal
146,65,fat
190,59,thin
155,60,normal
123,61,fat
158,58,normal
128,59,fat
112,65,fat
154,63,fat
128,62,fat
116,64,fat
194,59,thin
156,63,fat
190,63,thin
217,58,thin
219,62,thin
159,55,normal
122,65,fat
156,63,fat
212,55,thin
157,63,fat
202,60,thin
137,55,fat
135,59,fat
160,61,normal
114,63,fat
146,63,fat
218,56,thin
171,65,normal
208,57,thin
127,57,fat
195,63,thin
208,62,thin
205,56,thin
186,63,thin
112,62,fat
154,59,normal
179,63,normal
118,59,fat
129,63,fat
144,56,fat
147,55,fat
173,63,normal
208,59,thin
121,57,fat
125,58,fat
128,60,fat
186,55,thin
205,57,thin
159,57,normal
188,62,thin
160,57,normal
147,64,fat
154,55,normal
201,65,thin
213,59,thin
126,58,fat
140,58,fat
210,56,thin
120,62,fat
208,63,thin
157,55,normal
179,61,normal
150,63,fat
130,59,fat
119,63,fat
180,64,normal
180,57,thin
132,62,fat
182,64,normal
183,57,thin
129,55,fat
205,55,thin
181,55,thin
140,55,fat
198,55,thin
219,56,thin
119,62,fat
212,60,thin
127,55,fat
118,65,fat
190,64,thin
163,57,normal
198,55,thin
172,57,normal
213,65,thin
179,57,thin
171,58,normal
201,65,thin
219,59,thin
216,63,thin
137,57,fat
150,55,normal
201,57,thin
205,62,thin
215,62,thin
145,61,fat
132,57,fat
216,56,thin
187,61,thin
144,62,fat
170,57,normal
121,55,fat
180,63,normal
181,58,thin
161,58,normal
167,58,normal
118,62,fat
167,58,normal
192,58,thin
128,57,fat
207,59,thin
216,62,thin
213,57,thin
169,64,normal
212,65,thin
212,56,thin
173,64,normal
207,55,thin
124,62,fat
142,62,fat
155,59,normal
179,60,normal
114,56,fat
112,60,fat
212,60,thin
139,55,fat
156,60,normal
195,63,thin
160,57,normal
132,64,fat
202,60,thin
180,61,normal
178,58,thin
160,57,normal
140,57,fat
112,65,fat
125,58,fat
129,62,fat
209,55,thin
130,62,fat
138,60,fat
131,57,fat
219,57,thin
174,62,normal
208,65,thin
111,64,fat
141,64,fat
